Date,Open,High,Low,Close,Volume,ETH_Price_CryptoCompare,ETH_Volume_CryptoCompare,ETH_SMA_50,ETH_EMA_20,ETH_RSI,ETH_MACD,Fear_Greed_Index,ETH_Trends
2020-01-01,129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,7935230330,130.57,204356870.2,,,,,37.0,2
2020-01-02,130.82003784179688,130.82003784179688,126.95491027832033,127.4101791381836,8032709256,127.05,287644676.75,,,,,39.0,2
2020-01-03,127.41126251220705,134.55401611328125,126.49002075195312,134.1717071533203,10476845358,134.24,451528498.69,,,,,38.0,2
2020-01-04,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,7430904515,134.2,253723528.41,,,,,38.0,2
2020-01-05,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,7526675353,135.5,302251466.14,,,,,39.0,2
2020-01-06,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,9093747121,144.15,423649231.45,,,,,41.0,2
2020-01-07,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,9257954672,142.89,510138083.37,,,,,40.0,2
2020-01-08,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,9387194957,140.47,578716722.57,,,,,51.0,2
2020-01-09,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,7697325348,137.74,354683815.63,,,,,44.0,2
2020-01-10,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,9084816203,144.8,454563935.2,,,,,41.0,2
2020-01-11,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,9332208590,142.52,371061707.86,,,,,50.0,2
2020-01-12,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,8528167453,146.37,290506599.97,,,,,45.0,2
2020-01-13,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,8378529470,143.49,290088936.06,,,,,49.0,2
2020-01-14,144.2510528564453,167.68154907226562,144.06492614746094,165.95535278320312,16712318373,165.66,1152190450.5,,,83.42072566477196,,56.0,3
2020-01-15,165.734619140625,170.42567443847656,161.109619140625,166.23068237304688,15173694057,166.04,862754656.84,,,83.53246681055109,,54.0,3
2020-01-16,166.33282470703125,167.0581512451172,159.7096405029297,164.39100646972656,13735193018,164.1,527507989.45,,,79.66872086636481,,55.0,2
2020-01-17,164.4893798828125,173.0692138671875,162.77560424804688,170.7799530029297,14997091826,169.98,767710921.71,,,82.66716213813686,,54.0,3
2020-01-18,170.7477264404297,178.52877807617188,166.7890167236328,175.3656768798828,14929342256,173.91,866424830.99,,,84.44086044212298,,51.0,3
2020-01-19,175.46759033203125,177.2476348876953,163.67686462402344,166.9698486328125,13713374132,166.92,662472107.99,,,70.26391280257272,,53.0,2
2020-01-20,166.9041290283203,169.11488342285156,162.33160400390625,167.12051391601562,11144529787,166.64,361336568.0,,153.3153801142751,70.36008319662443,,48.0,2
2020-01-21,167.0604705810547,169.9101104736328,165.81971740722656,169.69715881347656,9789369362,169.09,370220822.27,,154.87554951419904,72.02630738015398,,49.0,2
